tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"rock, alternative, alternative_rock, 90s, grunge",RnB,1991,218920,0.508,0.826,4,-5.783,0,0.04,0.000175,0.000459,0.0878,0.543,120.012,4
"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",RnB,2008,238640,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,4
"rock, alternative, indie, pop, alternative_rock, british, piano, love, beautiful, 00s, britpop, mellow",Rock,2007,311014,0.566,0.429,5,-7.826,1,0.0242,0.715,1.44e-05,0.12,0.173,146.365,4
"rock, alternative, alternative_rock, 90s, funk",Pop,2003,265506,0.554,0.49,4,-8.046,1,0.0457,0.0168,0.000534,0.136,0.513,84.275,4
"rock, electronic, alternative, indie, pop, alternative_rock, dance, british, hip_hop, trip_hop",RnB,2010,223106,0.809,0.72,6,-7.776,1,0.136,0.0337,0.00141,0.826,0.832,138.556,4
"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Metal,2008,210480,0.42,0.925,7,-4.217,0,0.12,0.000363,0.002,0.1,0.322,127.422,4
"rock, alternative, indie, alternative_rock, indie_rock",Electronic,2003,230960,0.276,0.755,0,-5.406,1,0.046,0.00583,0.000543,0.183,0.194,137.149,4
"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, progressive_rock, british, 90s, britpop",Jazz,2012,384933,0.232,0.8,5,-6.863,1,0.0573,0.0523,0.00606,0.118,0.299,81.849,4
"rock, classic_rock, hard_rock, progressive_rock, 70s",Punk,2013,488019,0.354,0.361,9,-12.722,0,0.0509,0.625,0.0112,0.35,0.212,80.36,4
"rock, alternative, indie, pop, alternative_rock, classic_rock, 90s",Pop,2014,288160,0.668,0.736,9,-10.753,0,0.0277,0.0115,0.000259,0.337,0.629,126.978,4
